movie_id,title,budget,revenue,runtime,release_month,release_year,release_dow,actor_gender,actor_credits,actor_net_to_date,producer_gender,producer_credits,producer_net_to_date,writer_gender,writer_credits,writer_net_to_date,director_gender,director_credits,director_net_to_date,genre_count,language_count,net,target
36648,Blade: Trinity,65000000,128905366,123,12,2004,2,2,6,153646322,2,0,0,2,2,187193562,2,0,0,6,2,63905366,1
71679,Resident Evil: Retribution,65000000,240159255,95,9,2012,2,1,10,596334645,2,8,551182487,2,0,0,2,8,507870854,3,1,175159255,1
11170,We Are Marshall,65000000,43545364,124,12,2006,1,2,6,230236789,2,0,0,0,0,0,2,2,311281333,1,1,-21454636,0
9947,Elektra,43000000,56681566,97,1,2005,3,1,1,59455697,2,14,849500496,2,1,-4649226,2,3,106510558,2,2,13681566,1
189,Sin City: A Dame to Kill For,65000000,39407616,102,8,2014,2,2,4,164778660,0,13,574524376,2,1,118733820,0,15,633271965,2,1,-25592384,0
300168,Dragon Blade,65000000,121545703,127,2,2015,3,2,10,92023854,2,0,0,2,0,0,2,1,2139590,3,2,56545703,1
273248,The Hateful Eight,44000000,155760117,167,12,2015,4,2,12,120561703,1,2,341974981,2,4,738909295,2,7,1094670680,4,2,111760117,1
37165,The Truman Show,60000000,264118201,103,6,1998,3,2,6,1026287506,2,4,343027471,2,0,0,2,2,276167109,2,1,204118201,1
39514,RED,58000000,71664962,111,10,2010,2,2,25,2623873877,2,8,455139078,2,0,0,2,2,230617091,5,2,13664962,1
1538,Collateral,65000000,217764291,120,8,2004,2,2,13,2840736230,2,3,-13490407,0,0,0,2,3,-13490407,3,2,152764291,1
7485,Shooter,61000000,95696996,124,3,2007,3,2,8,400196134,2,3,78841071,2,0,0,2,3,64713620,5,1,34696996,1
6278,Reign of Fire,60000000,43061982,101,7,2002,4,2,1,27266564,2,6,1135484957,0,0,0,2,2,123448576,3,1,-16938018,0
82682,Gangster Squad,60000000,105200903,113,1,2013,3,2,2,-32054536,2,2,18376365,0,0,0,2,2,91338822,4,1,45200903,1
16558,Duplicity,78146652,60000000,125,3,2009,3,2,3,39600218,1,1,44000000,2,0,0,2,1,67991835,3,4,-18146652,0
16866,Planet 51,70000000,104945765,91,11,2009,3,2,8,275501008,2,0,0,2,0,0,2,0,0,5,2,34945765,1
38321,Priest,60000000,78309131,87,5,2011,3,2,1,41918658,2,6,128951907,0,0,0,0,1,41918658,5,3,18309131,1
14411,Sinbad: Legend of the Seven Seas,60000000,26288320,86,7,2003,2,2,7,793413165,2,2,466972757,2,0,0,2,0,0,3,3,-33711680,0
8413,Event Horizon,60000000,26673242,96,8,1997,4,2,2,43197300,0,0,0,2,0,0,2,1,104195920,3,2,-33326758,0
123553,The Mortal Instruments: City of Bones,60000000,90565421,130,8,2013,2,1,0,0,2,1,16050575,1,0,0,2,1,30795814,6,1,30565421,1
210860,Mortdecai,60000000,30418560,106,1,2015,2,2,24,3535052927,2,2,111297309,2,1,-5309198,2,4,67973102,2,1,-29581440,0
190859,American Sniper,58800000,542307423,133,12,2014,3,2,5,779230007,2,18,1186772743,2,0,0,2,19,1264351465,2,1,483507423,1
24438,Did You Hear About the Morgans?,58000000,85280250,103,12,2009,3,2,5,334259327,2,1,105896422,2,1,167000000,2,2,139251340,1,5,27280250,1
71676,Ghost Rider: Spirit of Vengeance,57000000,149217355,95,12,2011,5,2,22,1157084076,2,9,165125463,2,0,0,2,3,36320158,3,1,92217355,1
1924,Superman,55000000,300218018,143,12,1978,2,2,0,0,2,0,0,2,0,0,2,1,58122980,4,1,245218018,1
35056,Date Night,55000000,152263880,97,4,2010,3,1,1,33833449,2,2,62944720,2,0,0,2,6,1078260547,1,2,97263880,1
156022,The Equalizer,55000000,192330738,132,9,2014,2,2,25,1471868672,2,6,416179183,2,1,10664721,2,6,202972555,3,1,137330738,1
24,Kill Bill: Vol. 1,30000000,180949000,111,10,2003,4,1,0,0,2,7,518392527,2,1,13461007,2,3,247062931,2,3,150949000,1
9374,Death Becomes Her,55000000,149022650,104,7,1992,3,1,1,97499205,2,0,0,0,0,0,2,3,858637345,2,1,94022650,1
2320,Executive Decision,55000000,121969216,133,3,1996,4,2,4,66379525,2,10,699419907,2,1,22120318,2,0,0,4,1,66969216,1
