,movie_id,title,budget,revenue,release_date,movie_url
83,4816,Ghost Dog: The Way of the Samurai,2000000,10672492,9/13/1999,https://www.the-numbers.com//movie/Ghost-Dog-The-Way-of-the-Samurai#tab=summary
84,4953,Be Kind Rewind,20000000,30894247,1/20/2008,https://www.the-numbers.com//movie/Be-Kind-Rewind#tab=summary
85,4960,"Synecdoche, New York",20000000,4383538,10/24/2008,https://www.the-numbers.com//movie/Synecdoche-New-York#tab=summary
86,4965,Impostor,40000000,7974607,12/3/2001,https://www.the-numbers.com//movie/Impostor#tab=summary
87,5072,Severance,10000000,5950002,5/19/2006,https://www.the-numbers.com//movie/Severance#tab=summary
88,5126,Martian Child,27000000,9352089,11/2/2007,https://www.the-numbers.com//movie/Martian-Child#tab=summary
89,5178,The Good Heart,3800000,340930,9/11/2009,https://www.the-numbers.com//movie/Good-Heart-The#tab=summary
90,5353,The Hunting Party,40000000,7729552,9/3/2007,https://www.the-numbers.com//movie/Hunting-Party-The#tab=summary
91,5494,George and the Dragon,32000000,0,3/28/2004,https://www.the-numbers.com//movie/George-and-the-Dragon#tab=summary
92,5516,The Ladykillers,35000000,77392139,3/25/2004,https://www.the-numbers.com//movie/Ladykillers-The#tab=summary
93,5528,The Chorus,5500000,83529758,3/17/2004,https://www.the-numbers.com//movie/Choristes-Les#tab=summary
94,5708,Control,6400000,8902141,9/26/2007,https://www.the-numbers.com//movie/Control#tab=summary
95,5759,Baghead,200000,140016,1/21/2008,https://www.the-numbers.com//movie/Baghead#tab=summary
96,5900,The Dress,2650000,16556,3/21/1996,https://www.the-numbers.com//movie/Dress-The#tab=summary
97,5971,We're No Angels,20000000,10555348,12/15/1989,https://www.the-numbers.com//movie/Were-No-Angels#tab=summary
98,5994,The Family Man,60000000,124715863,12/12/2000,https://www.the-numbers.com//movie/Family-Man-The#tab=summary
99,6007,Elling,2100000,313436,3/16/2001,https://www.the-numbers.com//movie/Elling#tab=summary
100,6016,The Good Thief,30000000,6460758,4/3/2003,https://www.the-numbers.com//movie/Good-Thief-The#tab=summary
101,6020,Sorority Boys,12000000,12516222,3/22/2002,https://www.the-numbers.com//movie/Sorority-Boys#tab=summary
102,6071,Kiss of Death,40000000,14942422,4/21/1995,https://www.the-numbers.com//movie/Kiss-of-Death#tab=summary
103,6106,Salvador,4500000,1500000,4/23/1986,https://www.the-numbers.com//movie/Salvador#tab=summary
104,6217,Cat People,12500000,21000000,4/2/1982,https://www.the-numbers.com//movie/Cat-People-(1982)#tab=summary
105,6440,The Shipping News,35000000,24405825,12/18/2001,https://www.the-numbers.com//movie/Shipping-News-The#tab=summary
106,6478,Beyond the Sea,24000000,8292914,12/17/2004,https://www.the-numbers.com//movie/Beyond-the-Sea#tab=summary
