movie_id,title,name,unknown,male,female,credits,net_to_date
489,Good Will Hunting,Robin Williams,0,1,0,5,1075500730
492,Being John Malkovich,John Cusack,0,1,0,4,-25031751
496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Sacha Baron Cohen,0,1,0,0,0
497,The Green Mile,Tom Hanks,0,1,0,10,2718393971
500,Reservoir Dogs,Harvey Keitel,0,1,0,1,2500000
503,Poseidon,Kurt Russell,0,1,0,12,74254846
504,Monster,Charlize Theron,0,0,1,1,-29367963
507,Killing Zoe,Eric Stoltz,0,1,0,0,0
508,Love Actually,Keira Knightley,0,0,1,0,0
509,Notting Hill,Julia Roberts,0,0,1,5,935681342
510,One Flew Over the Cuckoo's Nest,Jack Nicholson,0,1,0,0,0
512,Scoop,Scarlett Johansson,0,0,1,1,31281552
522,Ed Wood,Johnny Depp,0,1,0,2,52000000
524,Casino,Robert De Niro,0,1,0,8,210631936
525,The Blues Brothers,Dan Aykroyd,0,1,0,1,-3244258
526,Ladyhawke,Matthew Broderick,0,1,0,1,67567667
533,The Curse of the Were-Rabbit,Peter Sallis,0,1,0,0,0
534,Terminator Salvation,Christian Bale,0,1,0,8,1043812724
535,Flashdance,Jennifer Beals,0,0,1,0,0
539,Psycho,Anthony Perkins,0,1,0,0,0
540,D.E.B.S.,Sara Foster,0,0,1,0,0
544,There's Something About Mary,Cameron Diaz,0,0,1,0,0
546,Transamerica,Felicity Huffman,0,0,1,0,0
547,The Horse Whisperer,Robert Redford,0,1,0,2,50497392
549,Basquiat,Jeffrey Wright,0,1,0,0,0
550,Fight Club,Edward Norton,0,1,0,1,3875127
557,Spider-Man,Tobey Maguire,0,1,0,1,-37364904
558,Spider-Man 2,Tobey Maguire,0,1,0,2,645343647
559,Spider-Man 3,Tobey Maguire,0,1,0,3,1229109988
562,Die Hard,Bruce Willis,0,1,0,0,0
563,Starship Troopers,Casper Van Dien,0,1,0,0,0
568,Apollo 13,Tom Hanks,0,1,0,5,1066572732
573,Frenzy,Jon Finch,0,1,0,0,0
576,The Wild Bunch,William Holden,0,1,0,1,30300000
577,To Die For,Nicole Kidman,0,0,1,0,0
578,Jaws,Roy Scheider,0,1,0,0,0
579,Jaws 2,Roy Scheider,0,1,0,2,453654000
580,Jaws: The Revenge,Lorraine Gary,0,0,1,0,0
581,Dances with Wolves,Kevin Costner,0,1,0,1,51270454
582,The Lives of Others,Martina Gedeck,0,0,1,0,0
584,2 Fast 2 Furious,Paul Walker,0,1,0,2,149846071
585,"Monsters, Inc.",John Goodman,0,1,0,2,320677040
586,Wag the Dog,Dustin Hoffman,0,1,0,4,725044613
587,Big Fish,Ewan McGregor,0,1,0,4,540463917
588,Silent Hill,Radha Mitchell,0,0,1,1,-492110
590,The Hours,Nicole Kidman,0,0,1,4,313893731
591,The Da Vinci Code,Tom Hanks,0,1,0,16,3726312715
592,The Conversation,Gene Hackman,0,1,0,1,39358757
594,The Terminal,Tom Hanks,0,1,0,14,3426019730
595,To Kill a Mockingbird,Gregory Peck,0,1,0,2,11700000
597,Titanic,Kate Winslet,0,0,1,1,118500000
598,City of God,Alexandre Rodrigues,0,1,0,0,0
601,E.T. the Extra-Terrestrial,Henry Thomas,1,0,0,0,0
602,Independence Day,Will Smith,0,1,0,1,122407024
603,The Matrix,Keanu Reeves,0,1,0,5,474624853
604,The Matrix Reloaded,Keanu Reeves,0,1,0,9,909173704
605,The Matrix Revolutions,Keanu Reeves,0,1,0,10,1497773405
606,Out of Africa,Meryl Streep,0,0,1,0,0
607,Men in Black,Tommy Lee Jones,0,1,0,1,30100000
608,Men in Black II,Tommy Lee Jones,0,1,0,3,637332097
609,Poltergeist,Craig T. Nelson,0,1,0,0,0
612,Munich,Eric Bana,0,1,0,1,108360480
613,Downfall,Bruno Ganz,0,1,0,0,0
615,The Passion of the Christ,Jim Caviezel,0,1,0,1,40395048
616,The Last Samurai,Tom Cruise,0,1,0,12,2523977249
617,Wild Things,Matt Dillon,0,1,0,2,19051127
619,The Bodyguard,Whitney Houston,0,0,1,0,0
