movie_id,title,language_count
217,Indiana Jones and the Kingdom of the Crystal Skull,3
9433,The Edge,3
11586,Exorcist II: The Heretic,3
290825,Yoga Hosers,3
9335,Transporter 2,3
256040,Baahubali: The Beginning,3
34043,On the Line,3
22314,In Too Deep,3
8859,"Dude, Where’s My Car?",3
41110,I Am Love,3
39209,Shalako,3
22301,Hell's Angels,3
24,Kill Bill: Vol. 1,3
27551,The Barbarians,3
9946,End of Days,3
9691,Assassins,3
40160,Meteor,3
28,Apocalypse Now,3
8874,My Best Friend's Wedding,3
8978,Assault on Precinct 13,3
9645,Ghost Ship,3
27205,Inception,3
8944,What Just Happened,3
39538,Contagion,3
8968,Boogeyman,3
11818,Valley of the Wolves: Iraq,3
658,Goldfinger,3
11870,Big Fat Liar,3
613,Downfall,3
667,You Only Live Twice,3
18,The Fifth Element,3
26843,Lion of the Desert,3
26022,My Name Is Khan,3
11817,Bulletproof Monk,3
22597,The Broken Hearts Club: A Romantic Comedy,3
13159,Georgia Rule,3
38970,"Remember Me, My Love",3
27576,Salt,3
9654,The Italian Job,3
676,Pearl Harbor,3
9007,Just Like Heaven,3
39851,Clean,3
8953,Steamboy,3
680,Pulp Fiction,3
9437,Kiss the Girls,2
60400,The Blue Bird,2
27004,Ca$h,2
4858,The Invasion,2
75656,Now You See Me,2
4836,Layer Cake,2
17707,Brokedown Palace,2
4824,The Jackal,2
17379,Last Holiday,2
17339,Force 10 from Navarone,2
17334,The Other End of the Line,2
5038,Vicky Cristina Barcelona,2
9787,Lords of Dogtown,2
5125,Rendition,2
10523,W.,2
27023,Saint John of Las Vegas,2
31175,Soul Kitchen,2
10330,Freaky Friday,2
4942,Leatherheads,2
75674,Act of Valor,2
10329,Congo,2
17622,Fifty Dead Men Walking,2
4951,10 Things I Hate About You,2
16172,Simply Irresistible,2
16281,Creepshow,2
2841,A Very Long Engagement,2
24803,Julie & Julia,2
9624,On Deadly Ground,2
17431,Moon,2
31668,All The Queen's Men,2
9443,Chariots of Fire,2
31306,Crazy in Alabama,2
3179,Beavis and Butt-Head Do America,2
9428,The Royal Tenenbaums,2
10528,Sherlock Holmes,2
33542,Rumble in the Bronx,2
2675,Signs,2
18041,Gossip,2
33196,Tidal Wave,2
9662,The Triplets of Belleville,2
18045,The Dark Hours,2
57876,Area 51,2
77016,End of Watch,2
10253,Dragon Wars: D-War,2
9390,Jerry Maguire,2
9389,Renaissance,2
24363,House of D,2
24664,Bamboozled,2
16052,Selena,2
33676,Losin' It,2
10550,Ballistic: Ecks vs. Sever,2
18206,Alone With Her,2
18239,The Twilight Saga: New Moon,2
9384,Starsky & Hutch,2
33870,Mao's Last Dancer,2
5915,Into the Wild,2
15992,Abandon,2
9381,Babylon A.D.,2
5550,RoboCop 3,2
10545,The Hunchback of Notre Dame,2
10279,Summer of Sam,2
5516,The Ladykillers,2
2779,The Curse of the Jade Scorpion,2
9672,Infamous,2
5137,Sky Captain and the World of Tomorrow,2
17813,Alex & Emma,2
9772,Air Force One,2
24663,The Open Road,2
9664,Flyboys,2
24662,Cats Don't Dance,2
32579,Under the Same Moon,2
2757,Adaptation.,2
76493,The Dictator,2
5178,The Good Heart,2
9793,The Hills Have Eyes 2,2
9794,Employee of the Month,2
26748,Lone Star,2
16110,Thomas and the Magic Railroad,2
24424,Ajami,2
58882,Snow Flower and the Secret Fan,2
5353,The Hunting Party,2
5491,Battlefield Earth,2
33157,Waterloo,2
27191,The Greatest Show on Earth,2
4551,Be Cool,2
24973,The Egyptian,2
68818,Blackthorn,2
3981,What Women Want,2
3093,Basic Instinct 2,2
9603,Clueless,2
25520,The House of Mirth,2
16781,Madea's Family Reunion,2
9549,The Right Stuff,2
25461,Raising Victor Vargas,2
4032,My Girl,2
4105,Black Rain,2
29064,The Omega Code,2
9544,FearDotCom,2
62835,Colombiana,2
4107,Bloody Sunday,2
9532,Final Destination,2
68734,Argo,2
16406,Dick,2
3080,Top Hat,2
68727,Trance,2
9526,A Prairie Home Companion,2
16866,Planet 51,2
9689,Hollywood Ending,2
9515,The Matador,2
3116,Midnight Cowboy,2
70435,Haywire,2
9562,Timeline,2
28178,Hachi: A Dog's Tale,2
3482,The Train,2
27845,Trees Lounge,2
25793,Precious,2
27588,Forget Me Not,2
27579,The American,2
27578,The Expendables,2
25784,Journey from the Fall,2
25763,Damnation Alley,2
71866,Tanner Hall,2
9573,Blood Work,2
71864,The Odd Life of Timothy Green,2
10436,The Age of Innocence,2
71805,Shipwrecked,2
9705,Swordfish,2
10472,Down to You,2
9707,Bubba Ho-tep,2
28089,The Messenger,2
16642,Days of Heaven,2
71157,Polisse,2
28165,The Toxic Avenger Part II,2
3766,The Lady from Shanghai,2
9615,The Fast and the Furious: Tokyo Drift,2
27374,Lake Mungo,2
9682,Pulse,2
3040,Night Watch,2
65055,Shark Night,2
3034,Young Frankenstein,2
17134,12 Rounds,2
74534,The Best Exotic Marigold Hotel,2
64686,47 Ronin,2
9763,Goal!: The Dream Begins,2
