movie_id,title,name,unknown,male,female,credits,net_to_date
227735,Dolphin Tale 2,Charles Martin Smith,0,1,0,0,0
492,Being John Malkovich,Charlie Kaufman,0,1,0,0,0
291270,Anomalisa,Charlie Kaufman,0,1,0,1,9863596
76349,1911,Chen Bao-Guang,1,0,0,0,0
49950,The Roommate,Chris Bylsma,1,0,0,0,0
14293,Poolhall Junkies,Chris Corso,1,0,0,0,0
39180,See Spot Run,Chris Faber,1,0,0,0,0
18162,Land of the Lost,Chris Henchy,0,1,0,0,0
208869,Plastic,Chris Howard,1,0,0,0,0
190859,American Sniper,Chris Kyle,1,0,0,0,0
299245,The Gallows,Chris Lofing,1,0,0,0,0
19724,Imagine That,Chris Matheson,0,1,0,0,0
8469,Animal House,Chris Miller,0,1,0,0,0
168259,Furious 7,Chris Morgan,0,1,0,0,0
37495,Four Lions,Chris Morris,0,1,0,0,0
13508,Who Killed the Electric Car?,Chris Paine,1,0,0,0,0
284296,Top Five,Chris Rock,0,1,0,0,0
26388,Buried,Chris Sparling,0,1,0,0,0
15489,Snow Day,Chris Viscardi,0,1,0,0,0
11661,Joyeux Noël,Christian Carion,0,1,0,0,0
227707,The Adventurer: The Curse of the Midas Box,Christian Taylor,1,0,0,0,0
35199,Wordplay,Christine O'Malley,0,0,1,0,0
40185,Camping Sauvage,Christophe Ali,1,0,0,0,0
36970,Oceans,Christophe Cheysson,1,0,0,0,0
72571,Paranormal Activity 3,Christopher B. Landon,0,1,0,0,0
227348,Paranormal Activity: The Marked Ones,Christopher B. Landon,0,1,0,1,200703818
44943,Battle: Los Angeles,Christopher Bertolini,0,1,0,0,0
28665,Fame,Christopher Gore,1,0,0,0,0
13370,A Mighty Wind,Christopher Guest,0,1,0,1,-1077012
16448,Waiting for Guffman,Christopher Guest,0,1,0,0,0
14799,For Your Consideration,Christopher Guest,0,1,0,2,11673234
22215,Cheri,Christopher Hampton,0,1,0,0,0
629,The Usual Suspects,Christopher McQuarrie,1,0,0,0,0
157336,Interstellar,Christopher Nolan,0,1,0,0,0
324668,Jason Bourne,Christopher Rouse,1,0,0,0,0
51955,Hav Plenty,Christopher Scott Cherot,0,1,0,0,0
26466,Triangle,Christopher Smith,0,1,0,0,0
235260,Son of God,Christopher Spencer,1,0,0,0,0
30596,Bodyguards and Assassins,Chun Tin-Nam,1,0,0,0,0
34152,Crooklyn,Cinqué Lee,0,1,0,0,0
232672,Blended,Clare Sera,1,0,0,0,0
64559,The Swindle,Claude Chabrol,1,0,0,0,0
