movie_id,title,budget,runtime,target,release_year,actor_unknown,actor_male,actor_female,actor_credits,actor_net_to_date,director_unknown,director_male,director_female,director_credits,director_net_to_date,writer_unknown,writer_male,writer_female,writer_credits,writer_net_to_date,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,foreign,history,horror,music,mystery,romance,science fiction,tv movie,thriller,war,western,genre_count,language_count,January,February,March,April,May,June,July,August,September,October,November,December,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
840,Close Encounters of the Third Kind,20000000.0,135.0,1.0,1977.0,0.0,1.0,0.0,1.0,139223000.0,0.0,1.0,0.0,1.0,463654000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
868,Tsotsi,3000000.0,94.0,1.0,2005.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
953,Madagascar,75000000.0,86.0,1.0,2005.0,0.0,1.0,0.0,10.0,935488935.0,0.0,1.0,0.0,1.0,111757863.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
956,Mission: Impossible III,150000000.0,126.0,1.0,2006.0,0.0,1.0,0.0,15.0,3453239900.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
979,Irreversible,5400000.0,97.0,1.0,2002.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1018,Mulholland Drive,15000000.0,147.0,1.0,2001.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,15046944.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1273,TMNT,34000000.0,90.0,1.0,2007.0,0.0,1.0,0.0,2.0,29435354.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1430,Bowling for Columbine,4000000.0,120.0,1.0,2002.0,0.0,1.0,0.0,1.0,6546368.0,0.0,1.0,0.0,1.0,6546368.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1493,Miss Congeniality,45000000.0,111.0,1.0,2000.0,0.0,0.0,1.0,6.0,127044219.0,0.0,1.0,0.0,2.0,-21356686.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1497,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,25000000.0,88.0,1.0,1991.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1499,Teenage Mutant Ninja Turtles III,21000000.0,96.0,1.0,1993.0,0.0,0.0,1.0,1.0,53000000.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1538,Collateral,65000000.0,120.0,1.0,2004.0,0.0,1.0,0.0,13.0,2840736230.0,0.0,1.0,0.0,3.0,-13490407.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
