movie_id,title,budget,revenue,release_date,movie_url
8457,Drillbit Taylor,40000000,49686263,2008-03-20,https://www.the-numbers.com//movie/Drillbit-Taylor#tab=summary
188161,A Million Ways to Die in the West,40000000,86778557,2014-05-22,https://www.the-numbers.com//movie/Million-Ways-to-Die-in-the-West-A#tab=summary
10391,Bless the Child,40000000,40435694,2000-08-11,https://www.the-numbers.com//movie/Bless-the-Child#tab=summary
12184,The Other Boleyn Girl,40000000,78269970,2008-02-28,https://www.the-numbers.com//movie/Other-Boleyn-Girl-The#tab=summary
15556,At First Sight,40000000,22365133,1999-01-15,https://www.the-numbers.com//movie/At-First-Sight#tab=summary
11062,City Hall,40000000,20278055,1996-02-16,https://www.the-numbers.com//movie/City-Hall#tab=summary
6071,Kiss of Death,40000000,14942422,1995-04-21,https://www.the-numbers.com//movie/Kiss-of-Death#tab=summary
11025,New York Minute,40000000,21215882,2004-05-01,https://www.the-numbers.com//movie/New-York-Minute#tab=summary
14655,Soul Men,40000000,12345883,2008-11-07,https://www.the-numbers.com//movie/Soul-Men#tab=summary
24575,Raise the Titanic,40000000,7000000,1980-01-01,https://www.the-numbers.com//movie/Raise-the-Titanic#tab=summary
4965,Impostor,40000000,7974607,2001-12-03,https://www.the-numbers.com//movie/Impostor#tab=summary
56715,Just Visiting,40000000,16172200,2001-04-06,https://www.the-numbers.com//movie/Just-Visiting#tab=summary
20542,Delgo,40000000,915840,2008-12-12,https://www.the-numbers.com//movie/Delgo#tab=summary
5353,The Hunting Party,40000000,7729552,2007-09-03,https://www.the-numbers.com//movie/Hunting-Party-The#tab=summary
11934,The Hudsucker Proxy,40000000,14938149,1994-03-11,https://www.the-numbers.com//movie/Hudsucker-Proxy-The#tab=summary
26486,The Last Shot,40000000,463730,2004-09-24,https://www.the-numbers.com//movie/Last-Shot-The#tab=summary
1257,Because I Said So,39000000,69538833,2007-02-02,https://www.the-numbers.com//movie/Because-I-Said-So#tab=summary
9099,Sgt. Bilko,39000000,37956589,1996-03-29,https://www.the-numbers.com//movie/Sgt-Bilko#tab=summary
257932,Dragon Nest: Warriors' Dawn,40000000,196090,2014-05-20,https://www.the-numbers.com//movie/Dragon-Nest-Warriors-Dawn-(China)#tab=summary
10833,Heartbreakers,38000000,57753825,2001-03-23,https://www.the-numbers.com//movie/Heartbreakers#tab=summary
12312,Joe Somebody,38000000,24515990,2001-12-21,https://www.the-numbers.com//movie/Joe-Somebody#tab=summary
13503,Texas Rangers,38000000,623374,2001-11-30,https://www.the-numbers.com//movie/Texas-Rangers#tab=summary
31908,Ghosts of Mississippi,36000000,13052741,1996-12-20,https://www.the-numbers.com//movie/Ghosts-of-Mississippi#tab=summary
10219,Snow Falling on Cedars,36000000,14378353,1999-12-22,https://www.the-numbers.com//movie/Snow-Falling-on-Cedars#tab=summary
9776,Head of State,35200000,38283765,2003-01-01,https://www.the-numbers.com//movie/Head-of-State#tab=summary
45054,There Be Dragons,36000000,4020990,2011-03-25,https://www.the-numbers.com//movie/There-Be-Dragons#tab=summary
10806,In & Out,35000000,83226569,1997-09-10,https://www.the-numbers.com//movie/In-and-Out#tab=summary
9313,The Man in the Iron Mask,35000000,56968169,1998-03-12,https://www.the-numbers.com//movie/Man-in-the-Iron-Mask#tab=summary
9957,The Benchwarmers,35000000,65063726,2006-04-07,https://www.the-numbers.com//movie/Benchwarmers-The#tab=summary
5516,The Ladykillers,35000000,77392139,2004-03-25,https://www.the-numbers.com//movie/Ladykillers-The#tab=summary
11469,Black Knight,35000000,33422806,2001-11-21,https://www.the-numbers.com//movie/Black-Knight#tab=summary
2447,The Nativity Story,35000000,46309644,2006-12-01,https://www.the-numbers.com//movie/Nativity-Story-The#tab=summary
10410,Hoffa,35000000,28391473,1992-12-25,https://www.the-numbers.com//movie/Hoffa#tab=summary
11004,Wonder Boys,35000000,33422485,2000-02-22,https://www.the-numbers.com//movie/Wonder-Boys#tab=summary
18886,Flight of the Intruder,35000000,14471440,1991-01-18,https://www.the-numbers.com//movie/Flight-of-the-Intruder#tab=summary
6440,The Shipping News,35000000,24405825,2001-12-18,https://www.the-numbers.com//movie/Shipping-News-The#tab=summary
37498,Knock Off,35000000,10319915,1998-09-04,https://www.the-numbers.com//movie/Knock-Off#tab=summary
49478,Warriors of Virtue,35000000,6448817,1997-05-02,https://www.the-numbers.com//movie/Warriors-of-Virtue#tab=summary
9702,Bound by Honor,35000000,4496583,1993-02-05,https://www.the-numbers.com//movie/Bound-by-Honor#tab=summary
9311,Smilla's Sense of Snow,35000000,2221994,1997-02-13,https://www.the-numbers.com//movie/Smillas-Sense-of-Snow#tab=summary
26843,Lion of the Desert,35000000,1500000,1981-04-17,https://www.the-numbers.com//movie/Lion-of-the-Desert#tab=summary
45958,Biutiful,35000000,24687524,2010-10-20,https://www.the-numbers.com//movie/Biutiful#tab=summary
310706,Black Water Transit,35000000,0,2009-05-13,https://www.the-numbers.com//movie/Black-Water-Transit#tab=summary
21311,I Dreamed of Africa,34000000,14291999,2000-05-05,https://www.the-numbers.com//movie/I-Dreamed-of-Africa#tab=summary
202575,Thunder and the House of Magic,34000000,10392666,2013-12-24,https://www.the-numbers.com//movie/Thunder-and-the-House-of-Magic-The#tab=summary
10685,The Watcher,33000000,47267829,2000-09-08,https://www.the-numbers.com//movie/Watcher-The#tab=summary
